,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
229,1,2022-06-01 00:19:42,2022-06-01 00:31:25,2,2.1,1,N,237,230,1,10.5,3,0.5,2,0,0.3,16.3,2.5,0
230,1,2022-06-01 00:40:34,2022-06-01 00:55:10,1,3.9,1,N,163,7,2,14.5,3,0.5,0,0,0.3,18.3,2.5,0
231,2,2022-06-01 00:05:11,2022-06-01 00:10:50,2,2.57,1,N,140,137,2,9,0.5,0.5,0,0,0.3,12.8,2.5,0
232,2,2022-06-01 00:15:20,2022-06-01 00:30:59,2,5.31,1,N,107,151,1,16.5,0.5,0.5,6.09,0,0.3,26.39,2.5,0
233,2,2022-06-01 00:49:45,2022-06-01 00:54:54,2,1.1,1,N,230,163,2,5.5,0.5,0.5,0,0,0.3,9.3,2.5,0
234,1,2022-06-01 00:00:01,2022-06-01 00:07:42,1,1.4,1,N,239,263,1,7.5,3,0.5,1.13,0,0.3,12.43,2.5,0
235,1,2022-06-01 00:09:32,2022-06-01 00:22:00,3,3.1,1,N,263,107,1,11.5,3,0.5,3.05,0,0.3,18.35,2.5,0
236,1,2022-06-01 00:39:18,2022-06-01 00:48:41,1,0.9,1,N,230,186,3,7.5,3,0.5,0,0,0.3,11.3,2.5,0
237,1,2022-06-01 00:51:25,2022-06-01 01:07:04,3,3.2,1,N,164,87,1,13,3,0.5,2,0,0.3,18.8,2.5,0
238,2,2022-06-01 00:23:25,2022-06-01 00:36:13,2,8.08,1,N,138,262,1,23,0.5,0.5,6.67,6.55,0.3,41.27,2.5,1.25
239,2,2022-06-01 00:04:54,2022-06-01 00:13:09,1,1.79,1,N,239,262,1,8.5,0.5,0.5,1,0,0.3,13.3,2.5,0
240,2,2022-06-01 00:14:57,2022-06-01 00:41:10,1,10.76,1,N,132,36,1,31.5,0.5,0.5,6.81,0,0.3,40.86,0,1.25
241,2,2022-06-01 00:29:18,2022-06-01 01:07:43,1,18.44,2,N,132,246,1,52,0,0.5,7,6.55,0.3,70.1,2.5,1.25
242,1,2022-06-01 00:02:52,2022-06-01 00:37:52,2,11.3,1,N,132,61,2,35,1.75,0.5,0,0,0.3,37.55,0,1.25
243,2,2022-06-01 00:06:02,2022-06-01 00:19:03,1,6.67,1,N,138,42,2,20.5,0.5,0.5,0,6.55,0.3,29.6,0,1.25
244,2,2022-06-01 00:49:14,2022-06-01 00:49:23,1,0,5,N,265,265,1,170,0,0,0,0,0.3,170.3,0,0
245,2,2022-06-01 00:08:48,2022-06-01 00:31:45,6,9.05,1,N,138,151,1,27,0.5,0.5,7.22,6.55,0.3,43.32,0,1.25
246,1,2022-06-01 00:02:26,2022-06-01 00:02:46,1,0,5,N,79,79,1,12,0,0,1,0,0.3,13.3,0,0
247,1,2022-06-01 00:50:37,2022-06-01 00:56:56,1,1.3,1,N,90,224,1,7,3,0.5,2.15,0,0.3,12.95,2.5,0
248,2,2022-06-01 00:19:53,2022-06-01 00:36:45,2,7.2,1,N,138,152,1,22.5,0.5,0.5,4,6.55,0.3,35.6,0,1.25
249,1,2022-06-01 00:13:31,2022-06-01 00:19:01,1,1.9,1,N,162,140,1,7,3,0.5,1.2,0,0.3,12,2.5,0
